"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-001","Functional Testing","Authentication","Register as Student — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-002","Functional Testing","Authentication","Register as Student — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit name -> 400","2026-08-05T23:35:22.587Z"
"FUN-003","Functional Testing","Authentication","Register as Student — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-004","Functional Testing","Authentication","Register as Student — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-08-05T23:35:22.587Z"
"FUN-005","Functional Testing","Authentication","Register as Student — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 201","2026-08-05T23:35:22.587Z"
"FUN-006","Functional Testing","Authentication","Register as Student — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,400","2026-08-05T23:35:22.587Z"
"FUN-007","Functional Testing","Authentication","Register as Student — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-008","Functional Testing","Authentication","Register as Student — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-009","Functional Testing","Authentication","Register as Teacher — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-010","Functional Testing","Authentication","Register as Teacher — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit name -> 400","2026-08-05T23:35:22.587Z"
"FUN-011","Functional Testing","Authentication","Register as Teacher — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-012","Functional Testing","Authentication","Register as Teacher — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-08-05T23:35:22.587Z"
"FUN-013","Functional Testing","Authentication","Register as Teacher — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 201","2026-08-05T23:35:22.587Z"
"FUN-014","Functional Testing","Authentication","Register as Teacher — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,400","2026-08-05T23:35:22.587Z"
"FUN-015","Functional Testing","Authentication","Register as Teacher — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-016","Functional Testing","Authentication","Register as Teacher — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-017","Functional Testing","Authentication","Login with email & password — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-018","Functional Testing","Authentication","Login with email & password — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit email -> 400","2026-08-05T23:35:22.587Z"
"FUN-019","Functional Testing","Authentication","Login with email & password — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
